follow,～の後に続く、～に従う
consider,～を考慮する
increase,増える、～を増やす
expect,～を予期する
decide,～することを決意する
develop,発達する、～を発達させる
provide,～を供給する、与える
continue,続く、～を続ける
include,～を含む、含める
remain,ままでいる
reach,～に着く、～に達する
allow,～を許可する
force,～を強制する
offer,～を申し出る
realize,～を悟る
suggest,～と提案する、～をほのめかす
require,～を必要とする
worry,心配する
wonder,～かと疑問に思う
cost,～を要する
tend,～する傾向がある、～しがちである
depend,～に依存する、～しだいで決まる
share,～を分け合う、共有する
demand,～を要求する
support,～を支持する
hire,～を雇う
regard,AをBだと思う、みなす
base,AがBに基づいている
improve,～を向上させる
recognize,～を認める
notice,～に気づく
suppose,～だと思う
raise,～を上げる、～を育てる
prefer,～をより好む
cheer,～を励ます
suffer,～を経験する、受ける、苦しむ
describe,～を描写する、～の特徴を説明する
prevent,～をさまたげる
reduce,～を減らす
mistake,～を誤解する、まちがえる
prepare,～の準備をする
encourage,はげます
prove,～だとわかる
treat,～をあつかう
establish,～を設立する、創立する
relate,関係がある
compare,～を比較する、～をたとえる
spread,～を広げる；広がる
refer,～を指示する
supply,～を供給する
gain,～を得る
destroy,～を破壊する
apply,当てはまる、申し込む
seek,～を求める
search,～を捜す
claim,～と主張する
draw,～を引っぱる
refuse,～を断る
respond,～に返答する
mention,～について述べる
judge,～を判断する
approach,～に接近する；～に取り組む；方法
admit,～を認める
reflect,～を反映する、～を反射する
perform,～を行う、～を遂行する
bore,～をうんざりさせる
survive,生き残る
represent,～を表す
argue,～と主張する
grant,～を認める、～を与える
indicate,～を指し示す
belong,所属している
acquire,～を習得する
reply,返事をする
feed,～にエサをやる
escape,逃げる
replace,～に取って代わる、～を取り替える
reveal,～を明らかにする
surround,～を取り囲む
suit,～に合う
estimate,～を推定する
aim,～をねらう
earn,～をもうける、かせぐ
decline,衰退する、低下する、～を辞退する
afford,～をする余裕がある
confuse,～を当惑させる
graduate,～を卒業する
vary,変わる、さまざまである
remove,～を移す、取り去る
insist,～と主張する、言い張る
examine,～を調査する
remind,ＡにＢを思い出させる
contribute,～に貢献する、～の一因となる、AをBに寄付する
warn,～に警告する
connect,～をつなぐ
match,～に匹敵する、～に調和する
focus,焦点を合わせる
reject,～を断る
convince,～を納得させる、確信させる
associate,AをBに関連づける、AからBを連想する
rush,急いで行く
stress,～を強調する
attract,～を引きつける
rely,Aに頼る
regret,～を後悔する
adopt,～を採用する
shake,～を振る
hurt,～を傷つける
operate,作動する、～を操作する、手術する
extend,～を広げる、延長する
blame,～を非難する、～のせいにする
consist,Aで構成されている
persuade,～を説得する
admire,～に感心する
disappoint,～を失望させる
expand,拡大する
preserve,～を保護する
struggle,苦闘する、もがく
arrange,～の手はずを整える、～を配列する
disturb,～を妨げる
employ,～を雇う、～を用いる
engage,Aに従事する、Aを行う
abandon,～を捨てる
display,～を展示する、～を表す
encounter,～に偶然出会う
amuse,～を楽しませる
bother,～に面倒をかける、困らせる
concentrate,集中する
adapt,～を適応させる、適応する
puzzle,～を当惑させる
appeal,Aに訴える、～を引きつける
combine,～を結合させる
delay,～を遅らせる
repair,～を修理する
fascinate,～を夢中にさせる
Pardon,～を許す
import,～を輸入する
remark,述べる
reserve,～を予約する、～を取っておく
amaze,～を驚嘆させる
frighten,～をおびえさせる
release,～を解放する、～を発表する
rent,～を賃借りする
recover,Aから回復する
suspect,～ではないかと思う、～を疑う
deliver,～を配達する、渡す、～をする
identify,～の正体をつきとめる、Aと共感する
locate,位置する
manufacture,～を製造する
occupy,～を占める
own,～を所有している
expose,ＡをＢにさらす
translate,～を翻訳する
cure,～を治療する
perceive,～を知覚する
adjust,～に慣れる、調節して合わせる
alarm,～をぎょっとさせる、おびえさせる
assist,～を助ける、～を手伝う
freeze,凍りつく
spoil,～を台無しにする
shift,～を変える
embarrass,～を困惑させる、～に恥ずかしい思いをさせる
approve,賛成する；～を承認する
weigh,～の重さがある、～を比較検討する、よく考える
stretch,～を広げる
participate,Aに参加する
exhibit,～を展示する
owe,AのことはBのおかげだ
celebrate,～を祝う
decorate,～を装飾する
forgive,～を許す
seat,(be seated)座っている
injure,～を傷つける
sew,～を縫う
result,結果
feature,特徴
society,社会、協会、団体
wheel,車輪、ハンドル
value,価値
effect,効果、影響、結果
individual,個人
influence,影響
fee,謝礼、料金
rate,割合、速度
sign,印、兆候
service,公共事業、業務
advance,前進、進歩
laughter,笑い
material,物質
industry,工業
attempt,試み
trade,貿易
progress,進歩、前進
excuse,言い訳
custom,習慣、税関
passage,一節、経過、通行
economy,経済
track,小道、足跡
transportation,交通機関、輸送
official,役人
sight,見ること、光景、視力
taste,味、好み
range,範囲
appointment,約束、予約
patient,患者、忍耐強い
project,計画
favor,好意
appearance,外見、様子、出現
risk,危険
benefit,利益
resident,住民
relative,親族、親戚
region,地域
characteristic,特徴
pain,苦痛
twin,双子の一方、双生児
occasion,場合、機会
principle,原理、原則
department,部門、学科
duty,義務、関税
scene,場面、現場
jam,渋滞
spirit,精神
medium,手段
mass,一般大衆、多くの
audience,聴衆、観客
element,要素、元素
climate,気候
revolution,革命
quarter,4分の1
furniture,家具
brain,脳
atmosphere,大気、雰囲気
property,財産
reward,報酬
security,安全
delight,大喜び
desert,砂漠
background,背景、生い立ち、経歴
trend,傾向
vote,投票
impact,影響、衝撃
institution,機関、制度
interaction,交流
alternative,代わりのもの
harm,害
agency,機関、代理店
capacity,能力
minister,大臣
volunteer,ボランティア
access,利用する権利
quantity,量
branch,枝、支店、支局、部門、分野
common,共通の、普通の
rough,荒い、大雑把な
likely,ありそうな、～する可能性が高い
serious,深刻な
particular,ある特定の、特有の
available,手に入る、利用できる
bilingual,二言語使用の
ready,用意ができた
correct,正しい
familiar,熟知している、くわしい
physical,身体の、肉体の
worth,～の価値がある
involved,～に関係している、参加している
fantastic,すばらしい
private,個人の、私的な
obvious,明白な
native,母国の
complex,複雑な
willing,～する気がある、～してもかまわない
current,最新の
male,男の
proper,適切な
capable,～する能力がある
independent,独立した
positive,積極的な
pleasant,楽しい
significant,重要な
former,前の
chemical,化学的な
upset,動揺している
previous,前の
calm,冷静な
specific,特定の
conscious,意識している
superior,よりすぐれている
efficient,効率がいい
fundamental,基本的な
narrow,狭い
reasonable,理にかなった
nervous,神経質な、不安な
alike,似ている
domestic,家庭の、国内の
negative,否定の
moral,道徳的な
eager,熱望している
remarkable,すばらしい
evil,悪い
awake,目を覚まして
aged,年老いた
anxious,心配して、切望して
tough,たくましい、骨の折れる
nuclear,核の、原子力の
legal,合法の、法律の
curious,好奇心の強い
civil,一般市民の
recent,最近の
senior,上級の、先輩の
afterward,その後
nearly,ほとんど
therefore,それゆえに
exactly,正確に
possibly,ひょっとすると、どうしてもVできない
contrary,反対に
occasionally,時々
somehow,どういうわけか、なぜか
seldom,めったに～ない
